"BAL1514 - ALUMÍNIO - GUERRA - 15cm x 14"" - 6 AFINAÇÕES ","2154,75",,,
"BAL1514CR - ALUMÍNIO - GUERRA - 15cm x 14"" - 6 TIRANTES - ARO CROMADO ","2453,1",,,
"BAL2014PP - ALUMÍNIO - GUERRA - 20cm x 14"" - 6 BORDOES  ","3457,545",,,
INOX ,,sub,,
"BIN1014 - INOX - TAROL - 10cm x 14"" - 6 AFINAÇÕES ","2632,5",,,
CHAVE DE AFINAÇÃO ,,sub,,
888G - CHAVE DE AFINAÇÃO TUBULAR,"77,9025",,,
"891G - CHAVE DE AFINAÇÃO EM ""L"" PROFISSIONAL ","165,75",,,
ACESSÓRIOS PARA CAIXA ,,sub,,
BA01 - BAQUETA PARA CAIXA REPIQUE/TAROL - PAR ,"67,9575",,,
BA02 - BAQUETA PARA CAIXA DE GUERRA - PAR ,"78,73125",,,
BA03 - BAQUETA PARA REPINIQUE MADEIRA LISA - UNIDADE ,"20,71875",,,
BA11 - BAQUETA PARA CAIXA REPIQUE COM PONTA DE NYLON - PAR,"79,56",,,
2300 - BORDÃO PARA MALACACHETA ,"42,26625",,,
841 - TALABARTE DE COURO 1 GANCHO ,"281,775",,,
841N - TALABARTE DE NYLON 1 GANCHO,"147,5175",,,
842 - TALABARTE DE COURO 2 GANCHOS ,"331,5",,,
842N - TALABARTE DE NYLON 2 GANCHOS ,"162,435",,,
825G - TIRANTE 6CM ZINCADO - COM PORCA - UNIDADE ,"19,89",,,
826G - TIRANTE 10CM ZINCADO - COM PORCA - UNIDADE,"24,8625",,,
827G - TIRANTE 15CM ZINCADO - COM PORCA - UNIDADE ,"29,00625",,,
828G - TIRANTE 20CM ZINCADO - COM PORCA - UNIDADE,"36,465",,,
848G - ESTICADOR DE BORDAO 20CM - 6 FIOS - COM PORCA ,"66,3",,,
"2320 - ESTEIRA 6 FIOS 12"" ","162,435",,,
"2324 - ESTEIRA 6 FIOS 14"" ","170,7225",,,
"2321 - ESTEIRA 12 FIOS 12"" ","187,2975",,,
"2325 - ESTEIRA 12 FIOS 14"" ","202,215",,,
"2322 - ESTEIRA 18 FIOS 12"" ","205,53",,,
"2326 - ESTEIRA 18 FIOS 14""","229,56375",,,
"2323 - ESTEIRA 24 FIOS 12"" ","241,995",,,
"2327 - ESTEIRA 24 FIOS 14"" ","246,13875",,,
"2328 - ESTEIRA 30 FIOS 14""","293,046",,,
"2329 - ESTEIRA 36 FIOS 14"" ","338,13",,,
"2330 - ESTEIRA 40 FIOS 14"" ","362,9925",,,
CARRILHÃO,,categoria,,
SIMPLES ,,sub,,
555 - 30 NOTAS SIMPLES - ESCALA SONORA ,"1540,5",,,
557 - 40 NOTAS SIMPLES - ESCALA SONORA,2145,,,
DUPLO ,,sub,,
556 - 60 NOTAS - DUPLO - ESCALA SONORA ,2925,,,
558 - 80 NOTAS - DUPLO - ESCALA SONORA ,4290,,,
CAPA ,,sub,,
CAP555 -CAPA PARA CARRILHÃO PEQUENO ,"175,5",,,
CAP558 - CAPA PARA CARRILHÃO GRANDE ,195,,,
ESTANTE,,sub,,
EST-CAR ESTANTE DE CARRILHÃO ,1755,,,
CAXIXI,,categoria,,
5011 - CAXIXI PEQUENO ,273,,,
5012 - CAXIXI MÉDIO ,312,,,
5013 - CAXIXI GRANDE ,468,,,
CLAVE DE RUMBA,,categoria,,
CRME - CLAVE DE RUMBA ,468,,,
CONGA,,categoria,,
"902-24R - REQUINTO - 80cm x 9""3/4","12099,75",,,
903-26R - QUINTO - 80cm x 11” ,"12762,75",,,
904-27R - CONGA - 80cm x 11”3/4 ,"13591,5",,,
905-28R - TUMBADORA (TUMBA) - 80cm x 12”1/2 ,"14055,6",,,
ESTANTE ,,sub,,
5999 - SUPORTE PARA CONGA/TUMBADORA INDIVIDUAL ,"2817,75",,,
5999D - SUPORTE PARA CONGA/TUMBADORA CENTRAL DUPLA ,"3149,25",,,
 CHAVE DE AFINAÇÃO ,,sub,,
889G - CHAVE DE AFINAÇÃO 16/17 ,"142,8765",,,
ACESSÓRIOS ,,sub,,
846 - TIRANTE PARA TUMBADORA (PACOTE COM 5),"414,375",,,
"848  - COLUNA PARA TUMBADORA COMPLETA, CRAQUEADA (UNIDADE)","580,125",,,
CONGA COMPACTA,,categoria,,
"903-904CPT - QUINTO 11"" E CONGA 11""3/4 COM SUPORTE ",16575,,,
"904-905CPT - CONGA 11"" 3/4 E TUMBA 12"" 1/2 COM SUPORTE ","19061,25",,,
"903-904-905CPT - QUINTO 11"", CONGA 11"" 3/4 E TUMBA 12"" 1/2 COM SUPORTE ",23205,,,
CHAVE DE AFINAÇÃO ,,sub,,
891G - CHAVE DE AFINAÇÃO ALIEN,"86,19",,,
CORNETA,,categoria,,
CORNETA ,,sub,,
3200 - CORNETA CURTA EM SIB NIQUELADA ,"3944,85",,,
3201 - CORNETA CURTA EM RÉ NIQUELADA ,"3772,1385",,,
3202 - CORNETA LONGA EM SIB NIQUELADA,"3772,1385",,,
3203 - CORNETA LONGA EM DÓ NIQUELADA ,"4384,0875",,,
3205 - CORNETA LONGA EM FÁ (MOR) NIQUELADA ,"4117,23",,,
3220 - CLARIM EM MIB NIQUELADO,"4773,6",,,
CORNETA,,categoria,,
3200G - CORNETA CURTA EM SIB NIQUELADA C/ GATILHO E CHAVE D'AGUA,"6004,29375",,,
3201G - CORNETA CURTA EM RÉ NIQUELADA C/ GATILHO E CHAVE D'AGUA,"5465,772",,,
3202G - CORNETA LONGA EM SIB NIQUELADA C/ GATILHO E CHAVE D'AGUA ,"5718,375",,,
3205G - CORNETA LONGA EM FÁ (MOR) NIQUELADA C/ GATILHO E CHAVE D'AGUA ,"6252,09",,,
3220G - CLARIM EM MIB NIQUELADO C/ GATILHO E CHAVE D'AGUA,"6576,13125",,,
BOCAL ,,sub,,
2500 - BOCAL PARA CORNETAS ,"667,14375",,,
CORNETÃO,,categoria,,
CORNETÃO ,,sub,,
3210 - CORNETÃO HORIZONTAL EM SIB NIQUELADO ,"5756,4975",,,
3211 - CORNETÃO HORIZONTAL EM FÁ NIQUELADO,"6252,09",,,
3212 - CORNETÃO HORIZONTAL EM MIB NIQUELADO ,"7046,86125",,,
CORNETÃO,,categoria,,
3210G - CORNETÃO HORIZONTAL EM SIB NIQUELADO C/ GATILHO E CHAVE D'AGUA ,"11436,75",,,
3211G - CORNETÃO HORIZONTAL EM FÁ NIQUELADO C/ GATILHO E CHAVE D'AGUA ,"13143,975",,,
3212G - CORNETÃO HORIZONTAL EM MIB NIQUELADO C/ GATILHO E CHAVE D'AGUA,"14751,75",,,
BOCAL ,,sub,,
2501 - BOCAL PARA CORNETÕES ,"1181,7975",,,
CUÍCA,,categoria,,
INOX ,,sub,,
"BIN2506C - 25cm x 6"" - 5 AFINAÇÕES - ARO LARGO","1408,875",,,
