RV152ACN,Viola Caboclinha Acústica Natural                                                                            ,,,$ 4.675,
RV152ATN,Viola Caboclinha Ativa c/ Afinador 4 B. c/ Afinador Digital Natural                                                         ,,,$ 6.590,
RV153ACN,Viola Cabocla Acústica Natural      tampo maciço                                           ,,,$ 5.623,
RV153ATN,Viola Cabocla Ativa c/ Afinador 4 B. c/ Afinador Digital Natural      tampo maciço                            ,,,$ 7.538,
RV315AC-LP,Viola Presença Brasil Ponteio Acústica Natural Louro Preto,,,$ 5.985,
RV315AT-LP,Viola Presença Brasil Ponteio Ativa 4 B. c/ Afinador Digital Natural Louro Preto,,,$ 7.899,
RV215AC-LP,Viola Presença Brasil Cinturada Acústica Natural Louro Preto,,,$ 5.985,
RV215AT-LP,Viola Presença Brasil Cinturada Ativa 4 B. c/ Afinador Digital Natural Louro Preto,,,$ 7.899,
RV115AC-LP,Viola Presença Brasil Clássica Acústica Natural Louro Preto,,,$ 5.985,
RV115AT-LP,Viola Presença Brasil Clássica Ativa 4 B. c/ Afinador Digital Natural Louro Preto,,,$ 7.899,
RV216ACF,Viola Morena Cinturada Acústica Natural Fosco Louro Preto,,,$ 5.723,
RV216ATF,Viola Morena Cinturada Ativa  4 B. c/ Afinador Digital Natural Fosco Louro Preto,,,$ 7.637,
RV217ACN,Viola Dourada Cinturada Acústica Natural     tampo maciço    ,,,$ 8.079,
RV217ATN,Viola Dourada Cinturada Ativa 4 B. c/ Afinador Digital Natural      tampo maciço    ,,,$ 9.993,
RV122ACN,Viola Profissional Ponteio  Acústica Natural     tampo maciço,,,$ 6.689,
RV122ATN,Viola Profissional Ponteio  Ativa 4 B. c/ Afinador Digital Natural     tampo maciço,,,$ 8.603,
RV102ACN,Viola Profissional Cinturada  Acústica Natural     tampo maciço,,,$ 7.258,
RV102ATN,Viola Profissional Cinturada  Ativa 4 B. c/ Afinador Digital Natural     tampo maciço,,,$ 9.172,
RV112ACN,Viola Profissional Clássica  Acústica Natural     tampo maciço,,,$ 7.258,
RV112ATN,Viola Profissional Clássica  Ativa 4 B. c/ Afinador Digital Natural     tampo maciço,,,$ 9.172,
RV220ACN,"Viola Clássica Nogueira   Acústica Natural   tampo maciço, laterais e fundo Nogueira maciço + estojo",,,$ 15.474,
RV220ATN,"Viola Clássica Nogueira  Ativa 4 B. FISHMAN c/ Afin. Nat. tampo maciço, laterais e fundo Nogueira maciço + estojo",,,$ 19.374,
RV120ACN,"Viola Concertista Clássica  Acústica Natural   tampo maciço, laterais e fundo Maple maciço + estojo",,,$ 16.964,
RV120ATN,"Viola Concertista Clássica  Ativa 4 B. FISHMAN c/ Afin. Nat. tampo maciço, laterais e fundo Maple maciço + estojo",,,$ 20.864,
RV123ACN,"Viola Concertista Ponteio  Acústica Natural  tampo maciço, laterais e fundo Jacarandá maciço + estojo",,,$ 14.842,
RV123ATN,"Viola Concertista Ponteio  Ativa 4 B. FISHMAN c/ Afin. Nat. tampo maciço, laterais e fundo Jacarandá maciço + estojo",,,$ 18.742,
RV103ACN,"Viola Concertista Cinturada  Acústica Natural   tampo maciço, laterais e fundo Jacarandá maciço + estojo",,,$ 17.207,
RV103ATN,"Viola Concertista Cinturada Ativa 4 B. FISHMAN c/ Afin. Nat. tampo maciço, laterais e fundo Jacarandá maciço + estojo",,,$ 19.835,
RV113ACN,"Viola Concertista Clássica  Acústica Natural   tampo maciço, laterais e fundo Jacarandá maciço + estojo",,,$ 18.345,
RV113ATN,"Viola Concertista Clássica  Ativa 4 B. FISHMAN c/ Afin. Nat. tampo maciço, laterais e fundo Jacarandá maciço + estojo",,,$ 22.245,
RV141ATN,Viola Flat Ativa 4 B. c/ Afinador Digital Natural    tampo maciço,,,$ 7.375,
RV191ACN,Viola Estilo Acústica Natural                           ,,,$ 6.472,
RV191ATN,Viola Estilo Ativa 4 B. c/ Afinador Digital Natural                  ,,,$ 8.386,
RV121ACV,Viola Sertaneja Ponteio  Acústica Vermelha,,,$ 5.407,
RV121ATV,Viola Sertaneja Ponteio  Ativa 4 B. c/ Afinador Digital Vermelha,,,$ 7.321,
RV121ACB,Viola Sertaneja Ponteio  Acústica Branca,,,$ 5.407,
RV121ATB,Viola Sertaneja Ponteio  Ativa 4 B. c/ Afinador Digital Branca,,,$ 7.321,
RV121ACP,Viola Sertaneja Ponteio  Acústica Preta,,,$ 5.407,
RV121ATP,Viola Sertaneja Ponteio  Ativa 4 B. c/ Afinador Digital Preta,,,$ 7.321,
RV101ACV,Viola Sertaneja Cinturada  Acústica Vermelha,,,$ 5.651,
RV101ATV,Viola Sertaneja Cinturada  Ativa 4 B. c/ Afinador Digital Vermelha,,,$ 7.565,
RV101ACB,Viola Sertaneja Cinturada  Acústica Branca,,,$ 5.651,
RV101ATB,Viola Sertaneja Cinturada  Ativa 4 B. c/ Afinador Digital Branca,,,$ 7.565,
RV101ACP,Viola Sertaneja Cinturada  Acústica Preta,,,$ 5.651,
RV101ATP,Viola Sertaneja Cinturada  Ativa 4 B. c/ Afinador Digital Preta,,,$ 7.565,
RV111ACV,Viola Sertaneja Clássica  Acústica Vermelha,,,$ 5.651,
RV111ATV,Viola Sertaneja Clássica  Ativa 4 B. c/ Afinador Digital Vermelha,,,$ 7.565,
RV111ACB,Viola Sertaneja Clássica  Acústica Branca,,,$ 5.651,
RV111ATB,Viola Sertaneja Clássica  Ativa 4 B. c/ Afinador Digital Branca,,,$ 7.565,
RV111ACP,Viola Sertaneja Clássica  Acústica Preta,,,$ 5.651,
RV111ATP,Viola Sertaneja Clássica  Ativa 4 B. c/ Afinador Digital Preta,,,$ 7.565,
COD.,Bandolins/ Banjos / Cavacos,,,0,categoria
RB21ACN,Bandolim Studio Acústico Natural,,,$ 6.156,
RB21ELN,Bandolim Studio Elétrico Natural,,,$ 7.059,
RB22ACN,Bandolim Profissional Acústico Natural    tampo maciço,,,$ 8.486,
RB22ELN,Bandolim Profissional Elétrico Natural    tampo maciço,,,$ 9.388,
RB22AT-LP,Bandolim Profissional Ativo 2 B. c/ Afinador Natural Fosco    tampo maciço,,,$ 10.580,
RJ14ELF,Banjo Estudante Caixa Larga Elétrico Natural Fosco,,,$ 5.921,
RJ11ELN,Banjo Studio Elétrico Natural,,,$ 5.921,
RJ11ELB  ,Banjo Studio Caixa Larga Elétrico Branco,,,$ 6.192,
RJ11ELP,Banjo Studio Caixa Larga Elétrico Preto,,,$ 6.192,
RJ11ELV  ,Banjo Studio Caixa Larga Elétrico Verde,,,$ 6.192,
RJ11ELA   ,Banjo Studio Caixa Larga Elétrico Azul,,,$ 6.192,
RJ12ELN,Banjo Profissional Elétrico Madeira Escura Natural,,,$ 9.208,
RJ13ELN,Banjo Profissional Elétrico Madeira Clara Natural,,,$ 9.208,
RJ15ATF,Banjo Estilo Ativo 2 B. c/ Afinador Natural Fosco,,,$ 9.533,
RJ17ELN  ,Banjo Show Elétrico Natural     laterais e fundo maciços,,,$ 10.851,
RC09ACN,Cavaco Estudante Acústico Natural,,,$ 3.655,
RC09ELN,Cavaco Estudante Elétrico Natural ,,,$ 4.016,
RC10ACF,Cavaco Estudante Caixa Larga Acústico Natural Fosco ,,,$ 3.628,
RC10ELF,Cavaco Estudante Caixa Larga Elétrico Natural Fosco ,,,$ 3.989,
RC01ACN,Cavaco Studio Acústico Natural,,,$ 4.134,
RC01ELN,Cavaco Studio Elétrico Natural,,,$ 4.477,
RC01ACB,Cavaco Studio Acústico Branco,,,$ 4.486,
RC01ELB,Cavaco Studio Elétrico Branco,,,$ 4.829,
RC01ACP,Cavaco Studio Acústico Preto,,,$ 4.486,
RC01ELP,Cavaco Studio Elétrico Preto,,,$ 4.829,
RC02ACN,Cavaco Clássico Acústico Natural    tampo maciço,,,$ 5.100,
RC02ELN,Cavaco Clássico Elétrico Natural    tampo maciço,,,$ 5.443,
RC03ELP,Cavaco Fiber Studio Elétrico Preto,,,$ 4.892,
