RV155ATN,Viola Caipira Clássica Ativa 4 B. c/ Afinador Digital Natural,,,$ 10.752,
RV152ACN,Viola Caboclinha Acústica Natural                                                                            ,,,$ 7.415,
RV152ATN,Viola Caboclinha Ativa c/ Afinador 4 B. c/ Afinador Digital Natural                                                         ,,,$ 10.850,
RV153ACN,Viola Cabocla Acústica Natural      tampo maciço                                           ,,,$ 9.116,
RV153ATN,Viola Cabocla Ativa c/ Afinador 4 B. c/ Afinador Digital Natural      tampo maciço                            ,,,$ 12.551,
RV315AC-LP,Viola Presença Brasil Ponteio Acústica Natural Louro Preto,,,$ 9.764,
RV315AT-LP,Viola Presença Brasil Ponteio Ativa 4 B. c/ Afinador Digital Natural Louro Preto,,,$ 13.199,
RV215AC-LP,Viola Presença Brasil Cinturada Acústica Natural Louro Preto,,,$ 9.764,
RV215AT-LP,Viola Presença Brasil Cinturada Ativa 4 B. c/ Afinador Digital Natural Louro Preto,,,$ 13.199,
RV115AC-LP,Viola Presença Brasil Clássica Acústica Natural Louro Preto,,,$ 9.764,
RV115AT-LP,Viola Presença Brasil Clássica Ativa 4 B. c/ Afinador Digital Natural Louro Preto,,,$ 13.199,
RV216ACF,Viola Morena Cinturada Acústica Natural Fosco Louro Preto,,,$ 9.294,
RV216ATF,Viola Morena Cinturada Ativa  4 B. c/ Afinador Digital Natural Fosco Louro Preto,,,$ 12.729,
RV217ACN,Viola Dourada Cinturada Acústica Natural     tampo maciço    ,,,$ 13.523,
RV217ATN,Viola Dourada Cinturada Ativa 4 B. c/ Afinador Digital Natural      tampo maciço    ,,,$ 16.957,
RV122ACN,Viola Profissional Ponteio  Acústica Natural     tampo maciço,,,$ 11.028,
RV122ATN,Viola Profissional Ponteio  Ativa 4 B. c/ Afinador Digital Natural     tampo maciço,,,$ 14.462,
RV102ACN,Viola Profissional Cinturada  Acústica Natural     tampo maciço,,,$ 12.048,
RV102ATN,Viola Profissional Cinturada  Ativa 4 B. c/ Afinador Digital Natural     tampo maciço,,,$ 15.483,
RV112ACN,Viola Profissional Clássica  Acústica Natural     tampo maciço,,,$ 12.048,
RV112ATN,Viola Profissional Clássica  Ativa 4 B. c/ Afinador Digital Natural     tampo maciço,,,$ 15.483,
RV220ACN,"Viola Clássica Nogueira   Acústica Natural   tampo maciço, laterais e fundo Nogueira maciço + estojo",,,$ 26.790,
RV220ATN,"Viola Clássica Nogueira  Ativa 4 B. FISHMAN c/ Afin. Nat. tampo maciço, laterais e fundo Nogueira maciço + estojo",,,$ 33.789,
RV120ACN,"Viola Concertista Clássica  Acústica Natural   tampo maciço, laterais e fundo Maple maciço + estojo",,,$ 29.463,
RV120ATN,"Viola Concertista Clássica  Ativa 4 B. FISHMAN c/ Afin. Nat. tampo maciço, laterais e fundo Maple maciço + estojo",,,$ 36.462,
RV123ACN,"Viola Concertista Ponteio  Acústica Natural  tampo maciço, laterais e fundo Jacarandá maciço + estojo",,,$ 25.656,
