"BAL1514CR - ALUMÍNIO - GUERRA - 15cm x 14"" - 6 TIRANTES - ARO CROMADO ",$ 3.068,
"BAL2014PP - ALUMÍNIO - GUERRA - 20cm x 14"" - 6 BORDOES  ",$ 4.038,
INOX ,,sub
"BIN1014 - INOX - TAROL - 10cm x 14"" - 6 AFINAÇÕES ",$ 2.860,
CHAVE DE AFINAÇÃO ,,sub
888G - CHAVE DE AFINAÇÃO TUBULAR,$ 175,
"891G - CHAVE DE AFINAÇÃO EM ""L"" PROFISSIONAL ",$ 260,
ACESSÓRIOS PARA CAIXA ,,sub
BA01 - BAQUETA PARA CAIXA REPIQUE/TAROL - PAR ,$ 98,
BA02 - BAQUETA PARA CAIXA DE GUERRA - PAR ,$ 114,
BA03 - BAQUETA PARA REPINIQUE MADEIRA LISA - UNIDADE ,$ 30,
BA11 - BAQUETA PARA CAIXA REPIQUE COM PONTA DE NYLON - PAR,$ 115,
2300 - BORDÃO PARA MALACACHETA ,$ 61,
841 - TALABARTE DE COURO 1 GANCHO ,$ 408,
841N - TALABARTE DE NYLON 1 GANCHO,$ 214,
842 - TALABARTE DE COURO 2 GANCHOS ,$ 480,
842N - TALABARTE DE NYLON 2 GANCHOS ,$ 235,
825G - TIRANTE 6CM ZINCADO - COM PORCA - UNIDADE ,$ 29,
826G - TIRANTE 10CM ZINCADO - COM PORCA - UNIDADE,$ 36,
827G - TIRANTE 15CM ZINCADO - COM PORCA - UNIDADE ,$ 42,
828G - TIRANTE 20CM ZINCADO - COM PORCA - UNIDADE,$ 53,
848G - ESTICADOR DE BORDAO 20CM - 6 FIOS - COM PORCA ,$ 96,
"2320 - ESTEIRA 6 FIOS 12"" ",$ 235,
"2324 - ESTEIRA 6 FIOS 14"" ",$ 247,
"2321 - ESTEIRA 12 FIOS 12"" ",$ 271,
"2325 - ESTEIRA 12 FIOS 14"" ",$ 293,
"2322 - ESTEIRA 18 FIOS 12"" ",$ 298,
"2326 - ESTEIRA 18 FIOS 14""",$ 332,
