"BAL2014PP - ALUMÍNIO - GUERRA - 20cm x 14"" - 6 BORDOES  ",$ 3.370,
INOX ,,sub
"BIN1014 - INOX - TAROL - 10cm x 14"" - 6 AFINAÇÕES ",$ 2.428,
CHAVE DE AFINAÇÃO ,$ 0,sub
888G - CHAVE DE AFINAÇÃO TUBULAR,$ 160,
"891G - CHAVE DE AFINAÇÃO EM ""L"" PROFISSIONAL ",$ 228,
ACESSÓRIOS PARA CAIXA ,,sub
BA01 - BAQUETA PARA CAIXA REPIQUE/TAROL - PAR ,$ 79,
BA02 - BAQUETA PARA CAIXA DE GUERRA - PAR ,$ 91,
BA03 - BAQUETA PARA REPINIQUE MADEIRA LISA - UNIDADE ,$ 24,
BA11 - BAQUETA PARA CAIXA REPIQUE COM PONTA DE NYLON - PAR,$ 92,
2300 - BORDÃO PARA MALACACHETA ,$ 49,
841 - TALABARTE DE COURO 1 GANCHO ,$ 326,
841N - TALABARTE DE NYLON 1 GANCHO,$ 171,
842 - TALABARTE DE COURO 2 GANCHOS ,$ 384,
842N - TALABARTE DE NYLON 2 GANCHOS ,$ 188,
825G - TIRANTE 6CM ZINCADO - COM PORCA - UNIDADE ,$ 23,
826G - TIRANTE 10CM ZINCADO - COM PORCA - UNIDADE,$ 29,
827G - TIRANTE 15CM ZINCADO - COM PORCA - UNIDADE ,$ 34,
828G - TIRANTE 20CM ZINCADO - COM PORCA - UNIDADE,$ 42,
848G - ESTICADOR DE BORDAO 20CM - 6 FIOS - COM PORCA ,$ 77,
"2320 - ESTEIRA 6 FIOS 12"" ",$ 188,
"2324 - ESTEIRA 6 FIOS 14"" ",$ 198,
"2321 - ESTEIRA 12 FIOS 12"" ",$ 217,
"2325 - ESTEIRA 12 FIOS 14"" ",$ 234,
"2322 - ESTEIRA 18 FIOS 12"" ",$ 238,
"2326 - ESTEIRA 18 FIOS 14""",$ 266,
"2323 - ESTEIRA 24 FIOS 12"" ",$ 280,
"2327 - ESTEIRA 24 FIOS 14"" ",$ 285,
"2328 - ESTEIRA 30 FIOS 14""",$ 339,
"2329 - ESTEIRA 36 FIOS 14"" ",$ 392,
"2330 - ESTEIRA 40 FIOS 14"" ",$ 420,
CARRILHÃO,,categoria
SIMPLES ,,sub
555 - 30 NOTAS SIMPLES - ESCALA SONORA ,$ 1.511,
557 - 40 NOTAS SIMPLES - ESCALA SONORA,$ 1.908,
DUPLO ,$ 500,sub
556 - 60 NOTAS - DUPLO - ESCALA SONORA ,$ 2.420,
558 - 80 NOTAS - DUPLO - ESCALA SONORA ,$ 3.316,
CAPA ,,sub
CAP555 -CAPA PARA CARRILHÃO PEQUENO ,$ 265,
CAP558 - CAPA PARA CARRILHÃO GRANDE ,$ 278,
ESTANTE,,sub
EST-CAR ESTANTE DE CARRILHÃO ,$ 1.652,
CAXIXI,,categoria
5011 - CAXIXI PEQUENO ,$ 358,
5012 - CAXIXI MÉDIO ,$ 410,
5013 - CAXIXI GRANDE ,$ 614,
CLAVE DE RUMBA,,categoria
CRME - CLAVE DE RUMBA ,$ 614,
CONGA,,categoria
"902-24R - REQUINTO - 80cm x 9""3/4",$ 10.744,
903-26R - QUINTO - 80cm x 11” ,$ 11.256,
904-27R - CONGA - 80cm x 11”3/4 ,$ 11.896,
905-28R - TUMBADORA (TUMBA) - 80cm x 12”1/2 ,$ 12.254,
ESTANTE ,,sub
5999 - SUPORTE PARA CONGA/TUMBADORA INDIVIDUAL ,$ 3.176,
5999D - SUPORTE PARA CONGA/TUMBADORA CENTRAL DUPLA ,$ 3.432,
 CHAVE DE AFINAÇÃO ,,sub
889G - CHAVE DE AFINAÇÃO 16/17 ,$ 221,
ACESSÓRIOS ,,sub
846 - TIRANTE PARA TUMBADORA (PACOTE COM 5),$ 470,
"848  - COLUNA PARA TUMBADORA COMPLETA, CRAQUEADA (UNIDADE)",$ 598,
CONGA COMPACTA,,categoria
"903-904CPT - QUINTO 11"" E CONGA 11""3/4 COM SUPORTE ",$ 13.500,
"904-905CPT - CONGA 11"" 3/4 E TUMBA 12"" 1/2 COM SUPORTE ",$ 15.420,
"903-904-905CPT - QUINTO 11"", CONGA 11"" 3/4 E TUMBA 12"" 1/2 COM SUPORTE ",$ 18.620,
CHAVE DE AFINAÇÃO ,,sub
891G - CHAVE DE AFINAÇÃO ALIEN,$ 133,
CORNETA,,categoria
CORNETA ,,sub
3200 - CORNETA CURTA EM SIB NIQUELADA ,$ 3.746,
3201 - CORNETA CURTA EM RÉ NIQUELADA ,$ 3.613,
3202 - CORNETA LONGA EM SIB NIQUELADA,$ 3.613,
3203 - CORNETA LONGA EM DÓ NIQUELADA ,$ 4.086,
3205 - CORNETA LONGA EM FÁ (MOR) NIQUELADA ,$ 3.880,
3220 - CLARIM EM MIB NIQUELADO,$ 4.386,
CORNETA,,categoria
3200G - CORNETA CURTA EM SIB NIQUELADA C/ GATILHO E CHAVE D'AGUA,$ 5.337,
3201G - CORNETA CURTA EM RÉ NIQUELADA C/ GATILHO E CHAVE D'AGUA,$ 4.921,
3202G - CORNETA LONGA EM SIB NIQUELADA C/ GATILHO E CHAVE D'AGUA ,$ 5.116,
3205G - CORNETA LONGA EM FÁ (MOR) NIQUELADA C/ GATILHO E CHAVE D'AGUA ,$ 5.528,
3220G - CLARIM EM MIB NIQUELADO C/ GATILHO E CHAVE D'AGUA,$ 5.778,
BOCAL ,,sub
2500 - BOCAL PARA CORNETAS ,$ 665,
CORNETÃO,,categoria
CORNETÃO ,,sub
3210 - CORNETÃO HORIZONTAL EM SIB NIQUELADO ,$ 5.145,
3211 - CORNETÃO HORIZONTAL EM FÁ NIQUELADO,$ 5.528,
3212 - CORNETÃO HORIZONTAL EM MIB NIQUELADO ,$ 6.142,
CORNETÃO,,categoria
3210G - CORNETÃO HORIZONTAL EM SIB NIQUELADO C/ GATILHO E CHAVE D'AGUA ,$ 9.532,
3211G - CORNETÃO HORIZONTAL EM FÁ NIQUELADO C/ GATILHO E CHAVE D'AGUA ,$ 10.850,
3212G - CORNETÃO HORIZONTAL EM MIB NIQUELADO C/ GATILHO E CHAVE D'AGUA,$ 12.092,
BOCAL ,,sub
2501 - BOCAL PARA CORNETÕES ,$ 1.063,
CUÍCA,,categoria
INOX ,,sub
"BIN2506C - 25cm x 6"" - 5 AFINAÇÕES - ARO LARGO",$ 1.788,
"BIN2508C - 25cm x 8"" - 8 AFINAÇÕES - ARO LARGO ",$ 2.300,
ALUMÍNIO ,$ 700,sub
"731 - 17cm x 6"" - 5 AFINAÇÕES ",$ 1.276,
"BAL2506C - 25cm x 6"" - 5 AFINAÇÕES - ARO LARGO ",$ 1.660,
"BAL2508C - 25cm x 8"" - 8 AFINAÇÕES - ARO LARGO",$ 2.185,
"BAL2508CPP - 25cm x 8"" - 8 AFINAÇÕES - ARO LARGO - (2 CORES) ",$ 2.492,
"BAL2609CC - 26cm x 9"" - 9 AFINAÇÕES - ARO LARGO ",$ 2.466,
"BAL3010C - 30cm x 10"" - 10 AFINAÇÕES - ARO LARGO ",$ 2.428,
"BAL3010CPP - 25cm x 10"" - 8 AFINAÇÕES - ARO LARGO - (2 CORES) ",$ 2.876,
BAL3010CCR  - CUICA 10 ALUMINIO ARO CROMADO ,2800,
ESPECIAL ,,sub
"BINOURO - INOX 10"" - FERRAGENS DE LATÃO - 10 AFINAÇÕES ",$ 4.476,
"BALOURO - ALUMINIO 10"" - FERRAGENS DE LATÃO - 10 AFINAÇÕES ",$ 4.284,
"BMEOURO - MADEIRA 8"" - FERRAGEM DE LATÃO - 8 AFINAÇÕES ",$ 4.540,
CHAVE DE AFINAÇÃO ,,sub
890G - CHAVE DE AFINAÇÃO ESTAMPADA,$ 64,
888G - CHAVE DE AFINAÇÃO TUBULAR,$ 120,
"891G - CHAVE DE AFINAÇÃO EM ""L"" PROFISSIONAL ",$ 256,
888GS - CHAVE DE AFINAÇÃO TUBULAR ESPECIAL ,$ 282,
ACESSÓRIOS ,,sub
2230 - VARETA DE BAMBU PARA CUICA (GAMBITO) - (PACOTE COM 2) ,$ 164,
839 - GORGURÃO 22CM PROFISSIONAL (PACOTE COM 10 UNIDADES) ,$ 1.536,
842 - TALABARTE DE COURO 2 GANCHOS ,$ 512,
842N - TALABARTE DE NYLON 2 GANCHOS ,$ 251,
828G - TIRANTE 20cm ZINCADO - COM PORCA -UNIDADE ,$ 51,
828GG - TIRANTE 23cm ZINCADO - COM PORCA -UNIDADE ,$ 61,
829G - TIRANTE 25cm ZINCADO - COM PORCA - UNIDADE ,$ 64,
DJÊMBE,,categoria
"853 - 13"" - 7 AFINAÇÕES - PELE LAMINADA",$ 6.120,
"854 - 14"" - 8 AFINAÇÕES - PELE LAMINADA",$ 6.312,
CHAVE DE AFINAÇÃO PARA TIRANTE,,sub
892G - CHAVE DE AFINAÇÃO 12/13 ,$ 156,
ACESSÓRIOS ,,sub
848G - TIRANTE PARA DJEMBE (PACOTE COM 8 UNIDADES) ,$ 470,
"849 - COLUNA PARA DJEMBE, EPOXI (PACOTE COM 8 UNIDADES) ",$ 854,
842 - TALABARTE DE COURO 2 GANCHOS,$ 402,
842N - TALABARTE DE NYLON 2 GANCHOS,$ 275,
GANZÁ,,categoria
PLÁSTICO ,,sub
834S - OVINHO ,$ 240,
ALÚMINIO ,,sub
"836S - MIRIM - 13,5cm x 4,5cm ",$ 329,
"837S - PEQUENO SIMPLES - 22cm x 5,1cm ",$ 393,
"838S - MEDIO SIMPLES - 30cm x 6,5cm ",$ 496,
"839S - GRANDE SIMPLES 39cm X 7,5cm ",$ 585,
PANDEIRÃO,,categoria
ALÚMINIO - CORPO DE 10 CM ,,sub
"655PAN - 14"" - 6 COL. - PELE NYLON - EPOXI ",$ 3.048,
"656PAN - 16"" - 7 COL. - PELE NYLON - EPOXI ",$ 3.355,
"657PAN - 18"" - 8 COL. - PELE NYLON - EPOXI ",$ 3.637,
"658PAN - 20"" - 9 COL. - PELE NYLON - EPOXI",$ 3.918,
"659PAN - 22"" - 10 COL. - PELE NYLON - EPOXI",$ 4.072,
"660PAN - 24"" - 11 COL. - PELE NYLON - EPOXI ",$ 4.200,
ACESSÓRIOS ,,sub
"843GN - TIRANTE REBOLO/TAMTAM ""POP LINE"" COM PORCA (PACOTE COM 12) ",$ 508,
CHAVE DE AFINAÇÃO ,,sub
888G - CHAVE DE AFINAÇÃO TUBULAR,$ 120,
"891G - CHAVE DE AFINAÇÃO EM ""L"" PROFISSIONAL ",$ 256,
PANDEIRO,,categoria
INICIANTE ,,sub
"628PE - 8"" - 5 TIRANTES - 8 PRATINELAS - PELE NYLON - MADEIRA ENVERN. ",$ 999,
"628PEA - 8"" - 5 TIRANTES - 8 PRATINELAS - PELE ANIMAL - MADEIRA ENVERN.",$ 1.140,
"628PES - 8"" - MOD. SINFÔNICO - 26 PRATINELAS INOX - PELE ANIMAL PREGADA ",$ 1.242,
"631PE - 10"" - 6 TIRANTES - 10 PRATINELAS - PELE NYLON - MADEIRA ENVERN.",$ 1.089,
"631PEA - 10"" - 6 TIRANTES - 10 PRATINELAS - PELE ANIMAL - MADEIRA ENVERN. ",$ 1.255,
"631PF - 10"" - 6 TIRANTES - 10 PRATINELAS - PELE NYLON - FÓRMICA",$ 1.166,
"631PFH - 10"" - 6 TIRANTES - 10 PRATINELAS - PELE HOLOGRAFICA - FÓRMICA",$ 1.268,
"632PE - 11"" - 7 TIRANTES - 12 PRATINELAS - PELE NYLON - MADEIRA ENVERN. ",$ 1.178,
"632PEA - 11"" - 7 TIRANTES - 12 PRATINELAS - PELE ANIMAL - MADEIRA ENVERN. ",$ 1.396,
"632PF - 11"" - 7 TIRANTES - 12 PRATINELAS - PELE NYLON- FÓRMICA ",$ 1.575,
"632PFH - 11"" - 7 TIRANTES - 12 PRATINELAS - PELE HOLOGRAFICA - FÓRMICA ",$ 1.358,
"635PE - 12"" - 12 TIRANTES - 12 PRATINELAS - PELE NYLON - MADEIRA ENVERN. ",$ 1.281,
"635PEA - 12"" - 12 TIRANTES - 12 PRATINELAS -PELE ANIMAL - MADEIRA ENVERN.",$ 1.486,
"635PF - 12"" - 12 TIRANTES - 12 PRATINELAS - PELE NYLON - FÓRMICA",$ 1.358,
"635PFH - 12"" - 12 TIRANTES - 12 PRATINELAS - PELE HOLOGRAFICA - FÓRMICA ",$ 1.434,
PROFISSIONAL 1 AFINAÇÃO ,,sub
"641PEH - 10"" - 7 COL. - PELE HOLOGRAFICA - 24 PRATINELAS - MAD. ENVERN. ",$ 2.164,
"641PEP - 10"" - 7 COL. - PELE POROSA - 24 PRATINELAS - MAD. ENVERN. ",$ 2.164,
"641PP - 10"" - 7 COL. - PELE POROSA - 24 PRATINELAS FÓRMICA - (2 CORES) ",$ 2.330,
"644PEH - 11"" - 8 COL. - PELE HOLOGRAFICA - 28 PRATINELAS - MAD. ENVERN. ",$ 2.292,
"644PEP - 11"" - 8 COL. - PELE POROSA - 28 PRATINELAS - MAD. ENVERN.",$ 2.292,
"644PP - 11"" - 8 COL. - PELE POROSA - 28 PRATINELAS FÓRMICA - (2 CORES) ",$ 2.471,
"644TB - 11"" - 8 COL. - PELE POROSA - 28 PRATINELAS FÓRMICA - (TRIBAL)",$ 2.548,
"647PEH - 12"" - 9 COL. - PELE HOLOGRÁFICA - 32 PRATINELAS - MAD. ENVERN.",$ 2.420,
"647PEP - 12"" - 9 COL. - PELE POROSA - 32 PRATINELAS - MAD. ENVERN",$ 2.420,
"647PP - 12"" - 9 COL. - PELE NYLON - 32 PRATINELAS FÓRMICA - (2 CORES)",$ 2.612,
PROFISSIONAL 2 AFINAÇÃO ,,sub
"641PECR - 10""- 14 COL. - PELE HOLOG. - 24 PRATINELAS - 6 ABAFAD. ",$ 2.356,
"641PECRP - 10""- 14 COL. - PELE POROSA / HD PRETA - 24 PRATINELAS - 6 ABAFAD. ",$ 2.356,
"644PECR - 11""- 16 COL. - PELE HOLOG. - 28 PRATINELAS - 7 ABAFADORES ",$ 2.484,
"644PECRP - 11""- 16 COL. - PELE POROSA / HD PRETA - 28 PRATINELAS - 7 ABAFAD. ",$ 2.484,
"647PECR - 12"" 18 COL. - PELE HOLOG. - 32 PRATINELAS - 8 ABAFADORES ",$ 2.612,
CHORO ,,sub
"628PECRA - 8"" - 5 COLUNAS - PELE ANIMAL - 8 PRATINELAS - 4 ABAFADORES ",$ 1.498,
"640PECRA - 10"" - 7 COLUNAS - PELE ANIMAL - 24 PRATINELAS - 6 ABAFADORES ",$ 1.754,
"643PECRA - 11""- 8 COLUNAS - PELE ANIMAL - 28 PRATINELAS - 7 ABAFADORES ",$ 1.908,
CHORINHO ESPECIAL ,,sub
"650CRA - 10""- 7 COLUNAS - PRATINELA LINHA TITANIUM",$ 1.716,
"650CRA4 - 10""- 7 COLUNAS -PRATINELA COM 4 CHUVEIRINHOS ",$ 2.036,
"650CRA8 - 10""- 7 COLUNAS - PRATINELA COM 8 CHUVEIRINHOS ",$ 2.138,
"650-LT - 10""- 7 COLUNAS - PRATINELA DE LATÃO CONCAVAS",$ 1.767,
"651CRA - 11"" - 8 COLUNAS - PRATINELA LINHA TITANIUM ",$ 2.100,
"651CRAC - 11""- 8 COLUNAS - 7 PARES DE PRATINELAS DE LATÃO CONCAVAS ",$ 2.164,
CHAVE DE AFINAÇÃO ,,sub
854G - CHAVE DE AFINAÇÃO ESTAMPADA PEQUENA ,$ 59,
"850G - CHAVE DE AFINAÇÃO PEQUENA REFORÇADA ""T""",$ 205,
ACESSÓRIOS ,,sub
841CP - TIRANTE PARA PANDEIRO COM PORCA (PACOTE COM 18) ,$ 355,
"850P - COLUNA PARA PANDEIRO DE ALUMÍNIO, COMPLETO (PACOTE COM 18)",$ 380,
PRATO,,categoria
"770B - 13"" PAR DE PRATOS PARA BANDA EM LATÃO - LIGA SONORA ",$ 2.748,
ACESSÓRIOS ,,sub
851 - CORREIA PARA PRATO EM COURO- PAR ,$ 238,
REBOLO,,categoria
RETO ALUMINIO,,sub
"LAL5012SMN - 50cm x 12"" - 6 COLUNAS - PELE NAPA",$ 2.754,
"LAL5012SMCR - 50cm x 12"" - 6 AFINAÇOES - PELE NAPA - CROMADO ",$ 2.882,
RETO MADEIRA ,$ 1.000,sub
"LME5012SMN - 50cm x 12"" - 6 COLUNAS - PELE NAPA - REFORÇO INF. ",$ 2.638,
"LME5012SMCR - 50cm x 12"" - 6 AFINAÇOES - PELE NAPA - REFORÇO INF. - CROMADO",$ 2.894,
CÔNICO ALUMINIO,$ 1.000,sub
"LAL4510TMA - 45cm x 10"" - 5 AFINAÇOES - PELE ANIMAL ",$ 2.702,
"LAL4510TMAP - 45cm x 10"" - 5 AFINAÇOES - PELE ANIMAL - PINTADO ",$ 2.791,
"LAL4510TMAPP - 45cm x 10"" - 5 AFINAÇOES - PELE ANIMAL - PINTADO (2 CORES) ",$ 2.984,
"LAL4510TMACRP - 45cm x 10"" - 5 AFINAÇOES - PELE ANIMAL - PINTADO - CROMADO ",$ 3.086,
"LAL5511TMA - 55cm x 11"" - 5 AFINAÇOES - PELE ANIMAL ",$ 3.304,
"LAL5511TMAP - 55cm x 11"" - 5 AFINAÇOES - PELE ANIMAL - PINTADO ",$ 3.419,
" LAL5511TMAPP - 55cm x 11"" - 5 AFINAÇOES - PELE ANIMAL - PINTADO (2 CORES) ",$ 3.624,
"LAL5511TMACR - 55cm x 11"" - 5 AFINAÇOES - PELE ANIMAL - CROMADO",$ 3.458,
"LAL5511TMACRP - 55cm x 11"" - 5 AFINAÇOES - PELE ANIMAL - CROMADO - PINTADO ",$ 3.688,
"LAL4512TMA - 45cm x 12"" - 6 AFINAÇÕES - PELE ANIMAL ",$ 3.304,
"LAL4512TMAPP - 45cm x 12"" - 6 AFINAÇÕES - PELE ANIMAL - (2 CORES) ",$ 3.752,
"LAL4512TMACR - 45cm x 12"" - 6 AFINAÇOES - PELE ANIMAL - CROMADO",$ 3.432,
"LAL4512TMACRP - 45cm x 12"" - 6 AFINAÇOES - PELE ANIMAL - PINTADO - CROMADO ",$ 3.560,
CONICO MADEIRA,$ 1.000,sub
"LME5010TMA - 50cm x 10"" - 5 AFINAÇOES - PELE ANIMAL",$ 2.408,
"LME5010TMAP - 50cm x 10"" - 5 AFINAÇOES - PELE ANIMAL - PINTADO ",$ 2.664,
"LME5010TMAPP - 50cm x 10"" - 5 AFINAÇOES - PELE ANIMAL - PINTADO (2 CORES)",$ 2.830,
"LME5010TMACR - 50cm x 10"" - 5 AFINAÇOES - PELE ANIMAL ",$ 2.638,
"LME5010TMACRP - 50cm x 10"" - 5 AFINAÇOES - PELE ANIMAL - PINTADO ",$ 2.792,
"LME4512TMA - 45cm x 12"" - 6 AFINAÇÕES - PELE ANIMAL",$ 3.035,
POP LINE by GOPE ,$ 1.000,categoria
RETO,$ 1.000,sub
"RFE5012SM 50cm x 12"" - ARO REDONDO - 6 COLUNAS - PELE NAPA 120.00 174.00",$ 2.536,
"RFE5012SMP 50cm x 12"" - ARO REDONDO - 6 COLUNAS - PELE NAPA - PINTADO 132.00 191.40",$ 2.690,
CÔNICO ,$ 1.000,sub
"RFE4512TMN - 45cm x 12"" - ARO REDONDO - 6 COLUNAS - PELE NAPA ",$ 2.664,
"RFE4512TMNP - 45cm x 12"" - ARO REDONDO - 6 COLUNAS - PELE NAPA -PINTADO",$ 2.830,
CHAVE DE AFINAÇÃO ,,sub
890G - CHAVE DE AFINAÇÃO ESTAMPADA ,$ 64,
ACESSÓRIOS ,,sub
844G - TIRANTE PARA REBOLO/TIMBA/TAMTAM COM PORCA (PACOTE COM 6),$ 307,
"851C - COLUNA REBOLO/TIMBA/TAMTAM, COMPLETO - EPOXI (PACOTE COM 6) ",$ 768,
"843G - TIRANTE REBOLO/TAMTAM ""POP LINE"" COM PORCA (PACOTE COM 6)",$ 269,
"855C - COLUNA REBOLO/TAMTAM ""POP LINE"" COMPLETO (PACOTE COM 6) ",$ 557,
842 - TALABARTE DE COURO 2 GANCHOS ,$ 384,
842N - TALABARTE DE NYLON 2 GANCHOS,$ 188,
RECO-RECO,,categoria
FERRO ,,sub
763 2 - MOLAS PINTURA EPOXI - GUIRO ,$ 820,
764 3 - MOLAS PINTURA EPOXI - GUIRO ,$ 935,
764P - 3 MOLAS PINTURA EPOXI - QUADRADO ,$ 999,
ALUMÍNIO ,,sub
767 - 4 MOLAS COM REFORÇO NAS LATERIAIS,$ 1.166,
767P - 4 MOLAS COM REFORÇO NAS LATERIAIS - PINTADO ,$ 1.230,
ACESSÓRIOS ,,sub
BA35 - BAQUETA DE RECO PARA REPOSIÇÃO ,$ 128,
2024FR - MOLA DE RECO (PACOTE COM 3 UNIDADES),$ 230,
REPINIQUE,,categoria
ALUMÍNIO ,,sub
"BAL3008R - 30cm x 8"" - ARO - 5 AFINAÇÕES - BACURINHA",$ 1.980,
"BAL3010R - 30cm x 10"" - ARO - 6 AFINAÇÕES ",$ 2.300,
"BAL3010RCR - 30cm x 10"" - ARO - 6 AFINAÇÕES ",$ 2.428,
"BAL3012R - 30cm x 12"" - ARO - 7 AFINAÇÕES",$ 2.441,
"BAL3012RPP - 30cm x 12"" - ARO - 7 AFINAÇÕES 2 COORES",$ 2.806,
 BAL3012RCR - REPINIQUE ALUMINIO ARO CROMADO 12X30 7 TENSORES,2600,
"BAL3012R12 - 30cm x 12"" - ARO - 12 AFINAÇÕES ",$ 2.735,
"BAL3012R12CR - 30cm x 12"" - ARO - 12 AFINAÇÕES ",$ 2.825,
CHAVE DE AFINAÇÃO ,,sub
888G - CHAVE DE AFINAÇÃO TUBULAR ,$ 64,
"891G - CHAVE DE AFINAÇÃO EM ""L"" PROFISSIONAL ",$ 256,
ACESSÓRIOS ,,sub
BA03 - BAQUETA PARA REPINIQUE MADEIRA LISA - UNIDADE ,$ 24,
BA21 - BAQUETA DE NYLON PARA REPINIQUE - UNIDADE,$ 173,
830G - TIRANTE 30CM ZINCADO - COM PORCA - UNIDADE ,$ 54,
841 - TALABARTE DE COURO 1 GANCHO,$ 326,
841N - TALABARTE DE NYLON 1 GANCHO,$ 171,
REPIQUE DE ANEL,,categoria
ALUMÍNIO ,,sub
"LAL3012RAA - 30cm x 12""- 10 COLUNAS - AFINAÇÃO IND.",$ 2.991,
